a,b,x,y,z
0,629.998,0.4799,-1.406,-0.078
0,630.305,0.4803,-1.4059,-0.0754
0,630.611,0.4807,-1.4058,-0.0729
0,630.917,0.481,-1.4057,-0.0703
0,631.223,0.4814,-1.4056,-0.0677
0,631.529,0.4818,-1.4055,-0.0652
0,633.701,0.484,-1.4047,-0.0469
0,635.942,0.4855,-1.4039,-0.0279
0,638.457,0.4862,-1.4031,-0.0066
0,640.983,0.4861,-1.4022,0.0149
0,644.194,0.4845,-1.4011,0.0421
0,647.138,0.4817,-1.4,0.0669
0,649.112,0.479,-1.3994,0.0834
0,651.578,0.475,-1.3985,0.104
0,654.936,0.4681,-1.3973,0.1316
0,657.153,0.4627,-1.3966,0.1497
0,659.706,0.4555,-1.3957,0.1701
0,662.2,0.4477,-1.3948,0.1898
0,665.564,0.4358,-1.3937,0.2157
0,669.201,0.4213,-1.3924,0.2429
0,671.813,0.4096,-1.3915,0.2618
0,673.645,0.4012,-1.3908,0.2748
0,677.155,0.3836,-1.3896,0.2989
0,680.948,0.363,-1.3883,0.3236
0,684.741,0.3408,-1.387,0.3469
0,688.147,0.3196,-1.3858,0.3666
0,690.964,0.3012,-1.3848,0.3818
0,693.495,0.284,-1.384,0.3947
0,695.968,0.2667,-1.3831,0.4066
0,698.767,0.2465,-1.3821,0.4191
0,701.561,0.2258,-1.3812,0.4307
0,703.793,0.2089,-1.3804,0.4391
0,706.316,0.1893,-1.3795,0.4479
0,708.543,0.1718,-1.3787,0.4549
0,711.042,0.1518,-1.3779,0.462
0,713.462,0.1322,-1.377,0.4681
0,716.002,0.1113,-1.3761,0.4734
0,718.554,0.0901,-1.3753,0.4779
0,720.781,0.0714,-1.3745,0.481
0,723.85,0.0456,-1.3734,0.4841
0,726.921,0.0196,-1.3723,0.4859
0,730.276,-0.0089,-1.3712,0.4862
0,733.905,-0.0396,-1.3699,0.4847
0,737.54,-0.0703,-1.3687,0.4812
0,741.061,-0.0997,-1.3674,0.476
0,744.695,-0.1297,-1.3662,0.4687
0,746.636,-0.1454,-1.3655,0.4639
0,746.909,-0.1477,-1.3654,0.4634
0,749.464,-0.1682,-1.3645,0.4563
0,751.984,-0.1881,-1.3636,0.4484
0,754.504,-0.2076,-1.3628,0.4397
0,756.478,-0.2226,-1.3621,0.4323
0,758.436,-0.2373,-1.3614,0.4244
0,760.956,-0.2557,-1.3605,0.4136
0,763.722,-0.2754,-1.3596,0.4008
0,765.965,-0.2908,-1.3588,0.3897
0,768.453,-0.3075,-1.3579,0.3767
0,770.898,-0.3234,-1.3571,0.3633
0,773.418,-0.339,-1.3562,0.3487
0,775.964,-0.3541,-1.3553,0.3333
0,778.759,-0.3699,-1.3543,0.3156
0,782.372,-0.3891,-1.3531,0.2917
0,786.006,-0.4068,-1.3518,0.2664
0,789.641,-0.4229,-1.3506,0.2401
0,793.276,-0.4372,-1.3493,0.2128
0,796.912,-0.4499,-1.348,0.1847
0,800.25,-0.4599,-1.3469,0.1582
0,803.605,-0.4683,-1.3457,0.131
0,805.387,-0.472,-1.3451,0.1163
0,805.66,-0.4728,-1.345,0.1141
0,808.203,-0.4773,-1.3441,0.093
0,808.521,-0.4778,-1.344,0.0904
0,808.839,-0.4782,-1.3439,0.0877
0,809.158,-0.4787,-1.3438,0.085
0,809.475,-0.4791,-1.3437,0.0824
0,809.793,-0.4796,-1.3436,0.0797
0,810.11,-0.48,-1.3435,0.0771
0,810.427,-0.4805,-1.3434,0.0744
0,810.744,-0.4809,-1.3432,0.0718
0,813.532,-0.4839,-1.3423,0.0483
0,816.887,-0.4859,-1.3411,0.0199
0,820.243,-0.4862,-1.3399,-0.0086
0,823.592,-0.4849,-1.3388,-0.037
0,827.501,-0.4813,-1.3374,-0.07
0,830.091,-0.4777,-1.3365,-0.0917
0,832.473,-0.4734,-1.3357,-0.1114
0,835.031,-0.4679,-1.3348,-0.1324
0,838.398,-0.4593,-1.3336,-0.1597
0,842.029,-0.4483,-1.3324,-0.1884
0,845.925,-0.4345,-1.331,-0.2185
0,849.558,-0.4197,-1.3298,-0.2456
0,853.35,-0.4026,-1.3284,-0.2728
0,857.142,-0.3837,-1.3271,-0.2988
0,861.055,-0.3624,-1.3258,-0.3243
0,864.708,-0.341,-1.3245,-0.3467
0,867.229,-0.3254,-1.3236,-0.3614
0,869.772,-0.309,-1.3227,-0.3754
0,872.272,-0.2924,-1.3219,-0.3886
0,875.058,-0.2731,-1.3209,-0.4023
0,877.602,-0.255,-1.32,-0.414
0,880.088,-0.2368,-1.3192,-0.4247
0,882.289,-0.2203,-1.3184,-0.4335
0,885.353,-0.1969,-1.3173,-0.4447
0,887.826,-0.1775,-1.3165,-0.4529
0,890.339,-0.1575,-1.3156,-0.4602
0,892.882,-0.1369,-1.3147,-0.4667
0,895.512,-0.1153,-1.3138,-0.4723
0,897.371,-0.0999,-1.3132,-0.4759
0,900.431,-0.0744,-1.3121,-0.4806
0,903.783,-0.0462,-1.3109,-0.4841
